# v_px_y v_px_z v_py_z c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
# total number of atoms: ${natoms}
# Timestep: 24000000
0 0.00119476 0.00119474 0.00119315 0.000297567 0.000298088 0.000295888 
0.005 0.000977291 0.000977017 0.00097602 0.000243442 0.000243834 0.000242196 
0.01 0.000445546 0.000444655 0.000445098 0.000111104 0.000111175 0.00011091 
0.015 -0.000107938 -0.000109483 -0.000107567 -2.66391e-05 -2.69086e-05 -2.57552e-05 
0.02 -0.000384916 -0.0003868 -0.000384207 -9.55673e-05 -9.60164e-05 -9.41845e-05 
0.025 -0.00024651 -0.000248239 -0.000246137 -6.11328e-05 -6.15064e-05 -6.01071e-05 
0.03 0.000214152 0.000212979 0.000213715 5.3475e-05 5.3386e-05 5.3491e-05 
0.035 0.000727581 0.000727044 0.000726329 0.000181189 0.000181433 0.000180112 
0.04 0.000998821 0.000998628 0.000997226 0.000248621 0.000249062 0.000246984 
0.045 0.00087077 0.000870423 0.000869511 0.000216701 0.000217093 0.000215357 
0.05 0.000409382 0.000408459 0.000408958 0.000101869 0.00010199 0.000101507 
0.055 -0.000137015 -0.000138612 -0.000136572 -3.40719e-05 -3.42964e-05 -3.33104e-05 
0.06 -0.000479023 -0.000481011 -0.000478165 -0.000119128 -0.000119586 -0.000117727 
0.065 -0.00044536 -0.000447244 -0.00044477 -0.000110722 -0.000111172 -0.000109516 
0.07 -7.18022e-05 -7.31686e-05 -7.20205e-05 -1.77969e-05 -1.79993e-05 -1.75008e-05 
0.075 0.000423896 0.000423139 0.000422771 0.000105462 0.000105609 0.000104646 
0.08 0.000676686 0.000676149 0.00067523 0.000168266 0.000168615 0.000166963 
0.09 0.00037152 0.000370455 0.00037092 9.22884e-05 9.24687e-05 9.18341e-05 
0.1 -0.000385704 -0.000387483 -0.000384942 -9.59227e-05 -9.62917e-05 -9.47471e-05 
0.11 -0.000187612 -0.000188842 -0.000187644 -4.65576e-05 -4.68223e-05 -4.60749e-05 
