time G_t
0.96 4.376226666666666e-06
1.04 4.292420666666667e-06
1.12 3.924062666666667e-06
1.2 4.040343333333333e-06
1.28 3.711308e-06
1.44 3.363712666666667e-06
1.6 3.1534853333333337e-06
1.76 3.0081793333333335e-06
1.92 2.9847486666666663e-06
2.08 2.9658180000000005e-06
2.24 2.883844666666667e-06
2.4 2.7378613333333336e-06
2.56 2.5942846666666665e-06
2.88 2.4399653333333336e-06
3.2 2.2996173333333334e-06
3.52 2.2637503333333333e-06
3.84 2.1838123333333336e-06
4.16 1.9911313333333332e-06
4.48 1.9240173333333335e-06
4.8 1.9052656666666666e-06
5.12 1.8563490000000002e-06
5.76 1.7426436666666667e-06
6.4 1.6331356666666667e-06
7.04 1.564493e-06
7.68 1.449352e-06
8.32 1.4419906666666667e-06
8.96 1.4196613333333333e-06
9.6 1.3542826666666667e-06
10.24 1.2878713333333334e-06
11.52 1.1864896666666668e-06
12.8 1.1304709999999999e-06
14.08 1.0649360000000001e-06
15.36 1.0516979333333333e-06
16.64 9.832994000000001e-07
17.92 9.729353333333333e-07
19.2 9.089093333333334e-07
20.48 8.918300000000001e-07
23.04 8.798043333333333e-07
25.6 8.291555333333333e-07
28.16 8.157018e-07
30.72 7.784458666666668e-07
33.28 7.567288e-07
35.84 7.192258666666667e-07
38.4 7.092236666666666e-07
40.96 6.781322666666667e-07
46.08 6.192328666666666e-07
51.2 5.933404666666666e-07
56.32 5.830772666666667e-07
61.44 5.577824666666667e-07
66.56 5.390371333333333e-07
71.68 5.260538666666667e-07
76.8 5.142544e-07
81.92 4.6497060000000007e-07
92.16 4.2892660000000007e-07
102.4 4.077106666666667e-07
112.64 3.700766e-07
122.88 3.4617146666666666e-07
133.12 3.252739333333333e-07
143.36 3.0899773333333336e-07
153.6 2.8672959999999995e-07
163.84 2.887575666666666e-07
184.32 2.470587e-07
204.8 2.591054e-07
225.28 2.2151996666666667e-07
245.76 2.2363463333333332e-07
266.24 2.0231736666666668e-07
286.72 1.8464056666666666e-07
307.2 1.8341143333333334e-07
327.68 1.4633338e-07
368.64 1.416665e-07
409.6 1.2012988666666667e-07
450.56 1.4409337333333332e-07
491.52 1.4503133333333334e-07
532.48 1.1062808e-07
573.44 1.0321453333333334e-07
614.4 9.147451333333332e-08
655.36 5.812638e-08
737.28 4.585843e-08
819.2 3.943145133333333e-08
