time G_t
0.96 2.9054013333333335e-06
1.04 2.7759519999999997e-06
1.12 2.880618e-06
1.2 2.8786686666666667e-06
1.28 2.7086419999999997e-06
1.44 2.4839089999999997e-06
1.6 2.3430323333333334e-06
1.76 2.2067583333333334e-06
1.92 2.0886376666666664e-06
2.08 1.9804793333333335e-06
2.24 1.859078e-06
2.4 1.8089916666666666e-06
2.56 1.7239833333333332e-06
2.88 1.5864756666666666e-06
3.2 1.4952203333333334e-06
3.52 1.3544503333333334e-06
3.84 1.296194e-06
4.16 1.2606703333333334e-06
4.48 1.1644153333333334e-06
4.8 1.1244703333333334e-06
5.12 1.0555932666666666e-06
5.76 1.0216795333333334e-06
6.4 9.566812666666667e-07
7.04 8.69089e-07
7.68 8.182253333333334e-07
8.32 8.159706e-07
8.96 7.551188e-07
9.6 7.328747333333332e-07
10.24 6.843473333333333e-07
11.52 6.257801333333333e-07
12.8 5.890429333333333e-07
14.08 5.8637e-07
15.36 5.539047333333333e-07
16.64 5.054377333333333e-07
17.92 5.193239333333333e-07
19.2 4.6906593333333337e-07
20.48 4.4073713333333334e-07
23.04 4.460102e-07
25.6 3.889164666666666e-07
28.16 3.849023333333333e-07
30.72 3.670886666666666e-07
33.28 3.760588e-07
35.84 3.446970666666667e-07
38.4 3.011102666666667e-07
40.96 2.986956e-07
46.08 2.729043e-07
51.2 2.457001e-07
56.32 2.574931e-07
61.44 2.3974746666666663e-07
66.56 2.1681736666666666e-07
71.68 2.00865e-07
76.8 1.9467696666666668e-07
81.92 1.8411823333333333e-07
92.16 1.6932300000000001e-07
102.4 1.5231586666666667e-07
112.64 1.4114334e-07
122.88 1.405579e-07
133.12 1.3339992666666666e-07
143.36 1.290113e-07
153.6 1.3787818666666665e-07
163.84 1.1998914e-07
184.32 1.137466e-07
204.8 1.0019246000000002e-07
225.28 8.734767333333333e-08
245.76 8.996820666666667e-08
266.24 8.687283999999999e-08
286.72 7.813900000000001e-08
307.2 6.509070666666667e-08
327.68 5.0819703333333335e-08
368.64 3.680032333333333e-08
409.6 3.767113e-08
450.56 3.285787333333333e-08
491.52 3.4209753333333336e-08
532.48 3.920594666666667e-08
573.44 3.048750666666667e-08
614.4 2.5164125333333332e-08
655.36 1.5991506666666668e-08
737.28 9.435383333333332e-09
819.2 6.862556666666667e-09
