time G_t
0.96 3.653656666666667e-06
1.04 3.5157799999999997e-06
1.12 3.3614600000000005e-06
1.2 3.384330666666667e-06
1.28 3.2049253333333336e-06
1.44 2.9169833333333335e-06
1.6 2.7844906666666666e-06
1.76 2.591687e-06
1.92 2.511221333333333e-06
2.08 2.412454666666667e-06
2.24 2.3391816666666664e-06
2.4 2.2636213333333333e-06
2.56 2.146749333333333e-06
2.88 1.998684e-06
3.2 1.8891306666666667e-06
3.52 1.776856e-06
3.84 1.6691283333333333e-06
4.16 1.6110956666666665e-06
4.48 1.5693240000000002e-06
4.8 1.5206936666666668e-06
5.12 1.4606186666666668e-06
5.76 1.3318623333333333e-06
6.4 1.2572096666666665e-06
7.04 1.1647176666666666e-06
7.68 1.104917e-06
8.32 1.0668056666666667e-06
8.96 9.800637333333333e-07
9.6 9.589652e-07
10.24 9.444651333333334e-07
11.52 9.250409333333333e-07
12.8 8.452508e-07
14.08 7.806145333333334e-07
15.36 7.624753333333334e-07
16.64 7.286225999999999e-07
17.92 6.700348e-07
19.2 6.349493333333333e-07
20.48 6.252211333333334e-07
23.04 6.195028666666666e-07
25.6 6.113378e-07
28.16 5.802376666666667e-07
30.72 5.622062e-07
33.28 4.974075333333333e-07
35.84 4.807607333333333e-07
38.4 4.5802713333333336e-07
40.96 4.4809166666666664e-07
46.08 4.2152120000000004e-07
51.2 3.90848e-07
56.32 3.814684e-07
61.44 3.731850666666667e-07
66.56 3.442066e-07
71.68 3.4528766666666665e-07
76.8 3.5204246666666667e-07
81.92 3.331287333333333e-07
92.16 2.9283583333333334e-07
102.4 2.665414666666667e-07
112.64 2.5370036666666666e-07
122.88 2.3186260000000002e-07
133.12 2.3248333333333332e-07
143.36 2.2157493333333334e-07
153.6 1.9212766666666667e-07
163.84 1.775338333333333e-07
184.32 1.6672379999999997e-07
204.8 1.4003743333333333e-07
225.28 1.3970975333333333e-07
245.76 1.3106379333333336e-07
266.24 1.1982872e-07
286.72 1.223405e-07
307.2 1.1006485333333334e-07
327.68 1.0454174e-07
368.64 8.746821333333333e-08
409.6 8.083504000000001e-08
450.56 8.658101999999999e-08
491.52 7.185362e-08
532.48 8.512360666666667e-08
573.44 8.043228666666667e-08
614.4 6.754113333333334e-08
655.36 6.185559333333333e-08
737.28 5.3854680000000005e-08
819.2 6.314465e-08
