time G_t
0.96 3.863703333333333e-06
1.04 3.767497333333333e-06
1.12 3.5713626666666663e-06
1.2 3.607903333333333e-06
1.28 3.3747546666666665e-06
1.44 3.1119106666666668e-06
1.6 2.969508e-06
1.76 2.7485386666666665e-06
1.92 2.703734666666667e-06
2.08 2.6506166666666664e-06
2.24 2.584548333333333e-06
2.4 2.4536939999999997e-06
2.56 2.3474223333333335e-06
2.88 2.1790133333333335e-06
3.2 2.056070666666667e-06
3.52 1.980330333333333e-06
3.84 1.8600853333333331e-06
4.16 1.7212873333333333e-06
4.48 1.7028036666666666e-06
4.8 1.6480393333333335e-06
5.12 1.5872756666666667e-06
5.76 1.4985673333333334e-06
6.4 1.4242413333333333e-06
7.04 1.3835136666666666e-06
7.68 1.317797e-06
8.32 1.2525516666666667e-06
8.96 1.1676523333333333e-06
9.6 1.1056863333333334e-06
10.24 1.0828233333333332e-06
11.52 1.0278836000000002e-06
12.8 9.597108666666665e-07
14.08 9.426008666666668e-07
15.36 8.895592000000001e-07
16.64 8.451094e-07
17.92 7.911939333333334e-07
19.2 7.662205333333333e-07
20.48 7.721151333333332e-07
23.04 7.294404000000001e-07
25.6 7.011754666666667e-07
28.16 6.173296e-07
30.72 6.013153333333334e-07
33.28 5.558776666666666e-07
35.84 5.572669333333333e-07
38.4 5.287662666666666e-07
40.96 5.076578666666667e-07
46.08 4.947535999999999e-07
51.2 4.623566e-07
56.32 4.1564239999999995e-07
61.44 4.310879999999999e-07
66.56 4.019976e-07
71.68 3.8680779999999997e-07
76.8 3.821978000000001e-07
81.92 3.8244266666666666e-07
92.16 3.683218666666667e-07
102.4 3.475954666666667e-07
112.64 3.1496246666666666e-07
122.88 2.988233333333333e-07
133.12 2.6997683333333334e-07
143.36 2.835679e-07
153.6 2.7105916666666664e-07
163.84 2.3648746666666667e-07
184.32 2.0680816666666665e-07
204.8 2.1323283333333332e-07
225.28 2.1306963333333333e-07
245.76 1.8036600000000002e-07
266.24 1.6000509999999997e-07
286.72 1.4993349999999998e-07
307.2 1.7565339999999999e-07
327.68 1.41398e-07
368.64 1.1134480666666666e-07
409.6 1.1439203e-07
450.56 1.030703e-07
491.52 8.066110666666666e-08
532.48 9.543697333333334e-08
573.44 8.653387333333333e-08
614.4 7.785284666666666e-08
655.36 7.418178e-08
737.28 5.9291100000000003e-08
819.2 3.064771266666666e-08
