time G_t
0.96 3.0674846666666665e-06
1.04 2.9320366666666665e-06
1.12 2.9468846666666668e-06
1.2 2.9139640000000002e-06
1.28 2.715593333333333e-06
1.44 2.483142e-06
1.6 2.395443e-06
1.76 2.2384359999999998e-06
1.92 2.1163363333333332e-06
2.08 2.0243763333333334e-06
2.24 1.987540333333334e-06
2.4 1.8673316666666668e-06
2.56 1.7829136666666667e-06
2.88 1.6450126666666667e-06
3.2 1.5901413333333332e-06
3.52 1.4523663333333333e-06
3.84 1.3517930000000001e-06
4.16 1.2651406666666665e-06
4.48 1.2807240000000001e-06
4.8 1.2326546666666668e-06
5.12 1.1756473333333334e-06
5.76 1.0638715333333334e-06
6.4 1.0327274e-06
7.04 9.501364666666667e-07
7.68 8.724101333333332e-07
8.32 8.122538000000001e-07
8.96 7.877677333333334e-07
9.6 7.732288666666667e-07
10.24 7.304977333333333e-07
11.52 6.594533333333333e-07
12.8 6.549448666666667e-07
14.08 5.839560666666667e-07
15.36 6.020138666666667e-07
16.64 5.667400666666667e-07
17.92 5.061724e-07
19.2 4.832626666666667e-07
20.48 4.650456e-07
23.04 4.335763333333333e-07
25.6 3.63405e-07
28.16 3.8572253333333337e-07
30.72 3.7046786666666665e-07
33.28 3.679354e-07
35.84 3.392396e-07
38.4 3.371084e-07
40.96 3.211924666666667e-07
46.08 2.89492e-07
51.2 2.652833333333333e-07
56.32 2.3841036666666668e-07
61.44 2.1871679999999997e-07
66.56 2.207667e-07
71.68 2.186281e-07
76.8 1.8681649999999998e-07
81.92 1.87028e-07
92.16 1.8129613333333334e-07
102.4 1.7937756666666667e-07
112.64 1.7126950666666666e-07
122.88 1.541677e-07
133.12 1.550154e-07
143.36 1.4166982666666668e-07
153.6 1.1878919333333333e-07
163.84 1.1384890666666667e-07
184.32 1.2440710666666665e-07
204.8 1.0440987333333333e-07
225.28 7.531026e-08
245.76 5.758493333333333e-08
266.24 6.519217333333334e-08
286.72 7.338179333333333e-08
307.2 6.39814e-08
327.68 5.948552e-08
368.64 6.633601333333333e-08
409.6 5.735752666666667e-08
450.56 4.412157333333333e-08
491.52 3.39352e-08
532.48 2.2762293333333332e-08
573.44 1.2492436333333333e-08
614.4 6.3084266666666674e-09
655.36 1.369048e-08
737.28 2.7343303333333335e-08
819.2 1.6799012666666666e-08
