# v_px_y v_px_z v_py_z c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
# total number of atoms: ${natoms}
# Timestep: 120000000
0 0.000517845 0.000517578 0.000517757 0.000129374 0.000129165 0.000129192 
0.001 0.000516103 0.000515833 0.000516012 0.000128938 0.000128729 0.000128756 
0.002 0.000510914 0.000510636 0.000510812 0.000127642 0.000127431 0.000127458 
0.003 0.000502385 0.000502096 0.000502266 0.000125511 0.000125296 0.000125324 
0.004 0.000490695 0.000490389 0.000490552 0.000122591 0.00012237 0.000122399 
0.005 0.000476086 0.000475759 0.000475915 0.000118941 0.000118713 0.000118744 
0.006 0.000458862 0.000458511 0.000458656 0.000114639 0.000114402 0.000114435 
0.007 0.00043938 0.000439001 0.000439135 0.000109772 0.000109526 0.00010956 
0.008 0.000418039 0.00041763 0.000417752 0.00010444 0.000104185 0.000104221 
0.009 0.000395279 0.000394838 0.000394945 9.87547e-05 9.84883e-05 9.85272e-05 
0.01 0.000371563 0.000371089 0.000371181 9.28301e-05 9.25526e-05 9.2594e-05 
0.011 0.000347372 0.000346865 0.000346941 8.67869e-05 8.64982e-05 8.65419e-05 
0.012 0.000323193 0.000322653 0.000322713 8.07468e-05 8.04469e-05 8.0493e-05 
0.013 0.000299508 0.000298936 0.00029898 7.48302e-05 7.45196e-05 7.45679e-05 
0.014 0.000276786 0.000276184 0.000276211 6.91542e-05 6.88334e-05 6.88838e-05 
0.015 0.000255471 0.000254841 0.000254852 6.38297e-05 6.34995e-05 6.35518e-05 
0.016 0.00023652 0.000235867 0.000235862 5.90959e-05 5.87576e-05 5.88115e-05 
0.018 0.00020455 0.000203861 0.000203827 5.11106e-05 5.07594e-05 5.08157e-05 
0.02 0.000183546 0.000182839 0.000182781 4.58653e-05 4.55069e-05 4.55642e-05 
0.022 0.000174876 0.00017417 0.000174094 4.37012e-05 4.33421e-05 4.33989e-05 
0.024 0.000178855 0.000178171 0.000178085 4.46974e-05 4.4344e-05 4.43987e-05 
0.026 0.000194732 0.000194088 0.000194001 4.86662e-05 4.83243e-05 4.83756e-05 
0.028 0.000220761 0.00022017 0.000220092 5.51708e-05 5.48455e-05 5.48919e-05 
0.03 0.000254343 0.000253816 0.000253756 6.35622e-05 6.32569e-05 6.32977e-05 
0.032 0.000292433 0.000291974 0.00029194 7.30791e-05 7.27955e-05 7.283e-05 
0.036 0.000365012 0.000364675 0.000364708 9.12119e-05 9.09686e-05 9.09914e-05 
0.04 0.000413287 0.000413028 0.000413134 0.000103271 0.000103054 0.000103068 
0.044 0.000418205 0.000417956 0.000418121 0.000104497 0.000104283 0.000104295 
0.048 0.000375098 0.000374794 0.000374983 9.37267e-05 9.34902e-05 9.35081e-05 
